task,task_type,noise_level,method,primary_metric,primary_mean,primary_std,primary_mean_std,call_rate_mean,delta_vs_2d_positive,n_seeds
Lipophilicity,regression,0.0,voi_router_fixed_budget_20,MAE,0.5639525697034252,0.0020479581755923,0.563953 +/- 0.002048,20.0,0.0020859425662962394,5
Lipophilicity,regression,0.1,all_2d,MAE,0.5660385122697215,0.0014256475035634,0.566039 +/- 0.001426,0.0,0.0,5
Lipophilicity,regression,0.1,all_3d_noisy_aug,MAE,0.5832051437362167,0.0035270023154717,0.583205 +/- 0.003527,100.0,-0.01716663146649522,5
Lipophilicity,regression,0.1,voi_positive_threshold_20,MAE,0.5632560458951745,0.0021683146961018,0.563256 +/- 0.002168,20.0,0.0027824663745469325,5
Lipophilicity,regression,0.1,voi_reliability_penalized_positive_20,MAE,0.5632560458951745,0.0021683146961018,0.563256 +/- 0.002168,20.0,0.0027824663745469325,5
Lipophilicity,regression,0.1,voi_router_fixed_budget_20,MAE,0.5632560458951745,0.0021683146961018,0.563256 +/- 0.002168,20.0,0.0027824663745469325,5
Lipophilicity,regression,0.25,all_2d,MAE,0.5660385122697215,0.0014256475035634,0.566039 +/- 0.001426,0.0,0.0,5
Lipophilicity,regression,0.25,all_3d_noisy_aug,MAE,0.5804527658300952,0.0030878537984523,0.580453 +/- 0.003088,100.0,-0.014414253560373735,5
Lipophilicity,regression,0.25,voi_positive_threshold_20,MAE,0.5649572483504114,0.003576310452606,0.564957 +/- 0.003576,20.0,0.0010812639193100715,5
Lipophilicity,regression,0.25,voi_reliability_penalized_positive_20,MAE,0.564941932807481,0.0035680751746922,0.564942 +/- 0.003568,19.95041322314049,0.00109657946224051,5
Lipophilicity,regression,0.25,voi_router_fixed_budget_20,MAE,0.5649572483504114,0.003576310452606,0.564957 +/- 0.003576,20.0,0.0010812639193100715,5
Lipophilicity,regression,0.5,all_2d,MAE,0.5660385122697215,0.0014256475035634,0.566039 +/- 0.001426,0.0,0.0,5
Lipophilicity,regression,0.5,all_3d_noisy_aug,MAE,0.5846804988246319,0.0015622920417682,0.584680 +/- 0.001562,100.0,-0.01864198655491045,5
Lipophilicity,regression,0.5,voi_positive_threshold_20,MAE,0.5649416054733528,0.0025959111127879,0.564942 +/- 0.002596,20.0,0.0010969067963686463,5
Lipophilicity,regression,0.5,voi_reliability_penalized_positive_20,MAE,0.5653525363496511,0.0024393404402916,0.565353 +/- 0.002439,16.958677685950413,0.0006859759200703586,5
Lipophilicity,regression,0.5,voi_router_fixed_budget_20,MAE,0.5649416054733528,0.0025959111127879,0.564942 +/- 0.002596,20.0,0.0010969067963686463,5
Lipophilicity,regression,1.0,all_2d,MAE,0.5660385122697215,0.0014256475035634,0.566039 +/- 0.001426,0.0,0.0,5
Lipophilicity,regression,1.0,all_3d_noisy_aug,MAE,0.5859688255991817,0.0050424845198618,0.585969 +/- 0.005042,100.0,-0.01993031332946027,5
Lipophilicity,regression,1.0,voi_positive_threshold_20,MAE,0.5667725020203709,0.0028881873364356,0.566773 +/- 0.002888,20.0,-0.000733989750649422,5
Lipophilicity,regression,1.0,voi_reliability_penalized_positive_20,MAE,0.565499486816422,0.0011114453589581,0.565499 +/- 0.001111,6.115702479338844,0.0005390254532994243,5
Lipophilicity,regression,1.0,voi_router_fixed_budget_20,MAE,0.5667725020203709,0.0028881873364356,0.566773 +/- 0.002888,20.0,-0.000733989750649422,5
