task,feature,budget,spearman_mean,spearman_std,selected_minus_not_selected_mean,selected_mean,not_selected_mean,n_seeds
HIV,logp,20.0,0.0502906069125041,0.013953324587352364,0.18572267643899468,2.7578786509539097,2.572155974514915,5
HIV,mol_wt,20.0,-0.15772052904486875,0.032047912224690465,-33.42526989242342,300.49653409691166,333.921803989335,5
HIV,nearest_train_tanimoto,20.0,0.16058949958518962,0.03771162093607958,0.0015841437976718386,0.027961694302696065,0.026377550505024227,5
HIV,ood_distance,20.0,-0.16058949958518962,0.03771162093607958,-0.001584143797671711,0.972038305697304,0.9736224494949756,5
HIV,oracle_benefit,20.0,0.226518438571976,0.021905730252977304,-2.9498331915627634e-05,-3.051329695765104e-05,-1.0149650420234036e-06,5
HIV,rings,20.0,-0.06153189197270996,0.017066423074143564,-0.20062643180688383,1.724538258575198,1.9251646903820816,5
HIV,rotatable_bonds,20.0,-0.10756628358869105,0.018579558341713362,-0.8265138478973512,4.67598944591029,5.502503293807642,5
HIV,tpsa,20.0,-0.17145064904261514,0.034839829658658054,-15.257922080594764,70.47712927481116,85.73505135540591,5
HIV,uncertainty_score,20.0,0.35834197153966824,0.018422285299138717,-0.0009425244365039127,0.011787693047246939,0.012730217483750856,5
Lipophilicity,bertz_ct,20.0,-0.06958673786220974,0.09148929655973488,-25.26182983335384,947.4411359739697,972.7029658073236,5
Lipophilicity,flexibility_score,20.0,-0.05077147648775258,0.07572471782470101,0.07097107425619846,6.767727276082644,6.696756201826446,5
Lipophilicity,fraction_csp3,20.0,-0.04985674854771883,0.051191223081331824,-0.0025838195069208037,0.2857993640251889,0.2883831835321097,5
Lipophilicity,hba,20.0,-0.07416883193220836,0.09266227725654133,-0.21177685950413228,4.649586776859504,4.861363636363636,5
Lipophilicity,hbd,20.0,-0.016401902894283185,0.058616042032036936,0.08884297520661155,1.756198347107438,1.6673553719008265,5
Lipophilicity,heavy_atoms,20.0,-0.07327175072305392,0.08153609554330216,-0.5020661157024783,26.990909090909092,27.492975206611572,5
Lipophilicity,log_scaffold_train_count,20.0,,,0.0,0.0,0.0,5
Lipophilicity,logp,20.0,-0.02951915031109221,0.08075692288469692,-0.07042772310578131,3.3988306451373362,3.469258368243117,5
Lipophilicity,mol_wt,20.0,-0.07464075135426515,0.07799141024799387,-10.284027950822804,380.8818903205809,391.1659182714037,5
Lipophilicity,nearest_train_tanimoto,20.0,0.06087579967434159,0.0784508742015147,0.0002939038989902373,0.017659700235699037,0.017365796336708803,5
Lipophilicity,ood_distance,20.0,-0.06087579967434159,0.0784508742015147,-0.00029390389899015547,0.9823402997643009,0.9826342036632912,5
Lipophilicity,oracle_benefit,20.0,0.024357872513322297,0.020079615977114322,0.016754135502764014,0.006249700560057456,-0.01050443494270656,5
Lipophilicity,rings,20.0,-0.09261186411252013,0.08748904840754998,-0.0867768595041321,3.395041322314049,3.4818181818181815,5
Lipophilicity,rotatable_bonds,20.0,-0.04126129538844954,0.07190671565105065,0.09607438016528924,5.418181818181819,5.322107438016529,5
Lipophilicity,tpsa,20.0,-0.02829637830156807,0.0843648256291523,-0.32380150073816194,78.65033078607448,78.97413228681265,5
Lipophilicity,uncertainty_score,20.0,-0.07422287151995569,0.054406014022617626,-0.03572529981599304,0.7798837335835527,0.8156090333995456,5
