task,task_type,router_feature_set,budget,primary_metric,primary_mean,primary_std,primary_mean_std,call_rate_mean,n_seeds
BBBP,classification,random,0.0,AUROC,0.9246629659000792,0.0037107396726361,0.924663 +/- 0.003711,0.0,5
BBBP,classification,random,5.0,AUROC,0.9262490087232356,0.0033643588744901,0.926249 +/- 0.003364,4.918032786885246,5
BBBP,classification,random,10.0,AUROC,0.9264770023790644,0.0025178429817604,0.926477 +/- 0.002518,9.836065573770492,5
BBBP,classification,random,20.0,AUROC,0.9255650277557494,0.0029065546489813,0.925565 +/- 0.002907,20.0,5
BBBP,classification,random,40.0,AUROC,0.9273691514670898,0.0038784898941018,0.927369 +/- 0.003878,40.0,5
BBBP,classification,random,60.0,AUROC,0.9270222045995242,0.0025937756229471,0.927022 +/- 0.002594,60.0,5
BBBP,classification,random,80.0,AUROC,0.927973830293418,0.0032205665232816,0.927974 +/- 0.003221,80.0,5
BBBP,classification,random,100.0,AUROC,0.9298473433782712,0.0023193758079199,0.929847 +/- 0.002319,100.0,5
BBBP,classification,uncertainty,0.0,AUROC,0.9246629659000792,0.0037107396726361,0.924663 +/- 0.003711,0.0,5
BBBP,classification,uncertainty,5.0,AUROC,0.9245935765265662,0.0037304946467987,0.924594 +/- 0.003730,4.918032786885246,5
BBBP,classification,uncertainty,10.0,AUROC,0.924494448850119,0.004164141198261,0.924494 +/- 0.004164,9.836065573770492,5
BBBP,classification,uncertainty,20.0,AUROC,0.926080491673275,0.0040599530646444,0.926080 +/- 0.004060,20.0,5
BBBP,classification,uncertainty,40.0,AUROC,0.9280927835051548,0.0032790740149143,0.928093 +/- 0.003279,40.0,5
BBBP,classification,uncertainty,60.0,AUROC,0.929748215701824,0.0021229529039629,0.929748 +/- 0.002123,60.0,5
BBBP,classification,uncertainty,80.0,AUROC,0.9295499603489292,0.0022761838577672,0.929550 +/- 0.002276,80.0,5
BBBP,classification,uncertainty,100.0,AUROC,0.9298473433782712,0.0023193758079199,0.929847 +/- 0.002319,100.0,5
BBBP,classification,uncertainty_only,0.0,AUROC,0.9246629659000792,0.0037107396726361,0.924663 +/- 0.003711,0.0,5
BBBP,classification,uncertainty_only,5.0,AUROC,0.9250495638382236,0.0047044829756649,0.925050 +/- 0.004704,4.918032786885246,5
BBBP,classification,uncertainty_only,10.0,AUROC,0.9253865979381444,0.0044169806574592,0.925387 +/- 0.004417,9.836065573770492,5
BBBP,classification,uncertainty_only,20.0,AUROC,0.9252081681205392,0.0031392343806927,0.925208 +/- 0.003139,20.0,5
BBBP,classification,uncertainty_only,40.0,AUROC,0.9254064234734338,0.0039243794533093,0.925406 +/- 0.003924,40.0,5
BBBP,classification,uncertainty_only,60.0,AUROC,0.9267049960348932,0.0034425145336914,0.926705 +/- 0.003443,60.0,5
BBBP,classification,uncertainty_only,80.0,AUROC,0.9274682791435368,0.0040681737550814,0.927468 +/- 0.004068,80.0,5
BBBP,classification,uncertainty_only,100.0,AUROC,0.9298473433782712,0.0023193758079199,0.929847 +/- 0.002319,100.0,5
BBBP,classification,uncertainty_support_ood,0.0,AUROC,0.9246629659000792,0.0037107396726361,0.924663 +/- 0.003711,0.0,5
BBBP,classification,uncertainty_support_ood,5.0,AUROC,0.9251685170499604,0.0042476411776579,0.925169 +/- 0.004248,4.918032786885246,5
BBBP,classification,uncertainty_support_ood,10.0,AUROC,0.925009912767645,0.0040790767851958,0.925010 +/- 0.004079,9.836065573770492,5
