task,task_type,seed,router,BIG,oracle_BIG,oracle_abs_scale,norm_BIG_by_oracle
HIV,classification,2,R8_oof_selected_gated,-0.0106505758306197,0.0740597820724264,0.0740597920724264,-0.1438105013879059
HIV,classification,2,R9_oof_safe_guardrail,0.0,0.0740597820724264,0.0740597920724264,0.0
HIV,classification,2,flexibility,0.0051926953383798,0.0740597820724264,0.0740597920724264,0.07011490571431296
HIV,classification,2,old_voi,0.0028395074780452,0.0740597820724264,0.0740597920724264,0.03834074331815998
HIV,classification,2,oracle,0.0740597820724264,0.0740597820724264,0.0740597920724264,0.9999998649739661
HIV,classification,2,random,0.0096929138298022,0.0740597820724264,0.0740597920724264,0.13087957120272584
HIV,classification,2,uncertainty,-0.0022929265164008,0.0740597820724264,0.0740597920724264,-0.03096047736885953
HIV,classification,3,R7_oof_selected_top,-0.0098032167575873,0.067223467388393,0.06722347738839299,-0.1458302536321924
HIV,classification,3,R8_oof_selected_gated,-0.0054066054890683,0.067223467388393,0.06722347738839299,-0.08042734025541233
HIV,classification,3,R9_oof_safe_guardrail,0.0,0.067223467388393,0.06722347738839299,0.0
HIV,classification,3,flexibility,-0.0035922456689362,0.067223467388393,0.06722347738839299,-0.05343736754618481
HIV,classification,3,old_voi,-0.0045521983056343,0.067223467388393,0.06722347738839299,-0.06771738806865556
HIV,classification,3,oracle,0.067223467388393,0.067223467388393,0.06722347738839299,0.9999998512424471
HIV,classification,3,random,3.559295752806658e-05,0.067223467388393,0.06722347738839299,0.0005294721265670819
HIV,classification,3,uncertainty,-0.0162122397485235,0.067223467388393,0.06722347738839299,-0.2411693113531606
HIV,classification,4,R7_oof_selected_top,0.0058356592097658,0.0636298120973767,0.06362982209737669,0.09171264381087105
HIV,classification,4,R8_oof_selected_gated,0.0076124878420096,0.0636298120973767,0.06362982209737669,0.119637107115587
HIV,classification,4,R9_oof_safe_guardrail,0.0,0.0636298120973767,0.06362982209737669,0.0
HIV,classification,4,flexibility,0.0001284518120692,0.0636298120973767,0.06362982209737669,0.0020187359925762823
HIV,classification,4,old_voi,0.0021043895631581,0.0636298120973767,0.06362982209737669,0.03307237854504168
HIV,classification,4,oracle,0.0636298120973767,0.0636298120973767,0.06362982209737669,0.9999998428409876
HIV,classification,4,random,-0.0082822345329216,0.0636298120973767,0.06362982209737669,-0.13016277996576478
HIV,classification,4,uncertainty,-0.003459917396146,0.0636298120973767,0.06362982209737669,-0.05437572009632641
Lipophilicity,regression,0,R7_oof_selected_top,-0.0014716245128596,0.0419675741915367,0.0419675841915367,-0.03506574279194207
Lipophilicity,regression,0,R8_oof_selected_gated,0.000982569867865,0.0419675741915367,0.0419675841915367,0.023412590617096985
Lipophilicity,regression,0,R9_oof_safe_guardrail,0.000982569867865,0.0419675741915367,0.0419675841915367,0.023412590617096985
Lipophilicity,regression,0,flexibility,-0.001570658806188,0.0419675741915367,0.0419675841915367,-0.037425523447326366
Lipophilicity,regression,0,old_voi,-0.0041522482022766,0.0419675741915367,0.0419675841915367,-0.09893941436624208
Lipophilicity,regression,0,oracle,0.0419675741915367,0.0419675741915367,0.0419675841915367,0.9999997617208568
Lipophilicity,regression,0,random,-0.0036121271730454,0.0419675741915367,0.0419675841915367,-0.08606945676358069
Lipophilicity,regression,0,uncertainty,-0.0046156391618665,0.0419675741915367,0.0419675841915367,-0.10998105444433236
Lipophilicity,regression,1,R7_oof_selected_top,-0.0059614278077587,0.0423432714942072,0.0423432814942072,-0.1407880447001789
Lipophilicity,regression,1,R8_oof_selected_gated,-0.0043738081770002,0.0423432714942072,0.0423432814942072,-0.10329402971752583
Lipophilicity,regression,1,R9_oof_safe_guardrail,-0.0043738081770002,0.0423432714942072,0.0423432814942072,-0.10329402971752583
Lipophilicity,regression,1,flexibility,-0.0023421787818108,0.0423432714942072,0.0423432814942072,-0.05531405925946536
Lipophilicity,regression,1,old_voi,-0.0041253032456745,0.0423432714942072,0.0423432814942072,-0.0974252136372299
Lipophilicity,regression,1,oracle,0.0423432714942072,0.0423432714942072,0.0423432814942072,0.9999997638350253
Lipophilicity,regression,1,random,-0.0030462154238185,0.0423432714942072,0.0423432814942072,-0.07194093882958125
Lipophilicity,regression,1,uncertainty,-0.0067377118824927,0.0423432714942072,0.0423432814942072,-0.15912115558201262
Lipophilicity,regression,2,R7_oof_selected_top,0.0008951062418705,0.0499433839484187,0.0499433939484187,0.01792241518057346
Lipophilicity,regression,2,R8_oof_selected_gated,-0.0001218134139688,0.0499433839484187,0.0499433939484187,-0.0024390295560331424
Lipophilicity,regression,2,R9_oof_safe_guardrail,-0.0001218134139688,0.0499433839484187,0.0499433939484187,-0.0024390295560331424
Lipophilicity,regression,2,flexibility,0.0010528398433007,0.0499433839484187,0.0499433939484187,0.021080662727648584
Lipophilicity,regression,2,old_voi,0.0021647313459353,0.0499433839484187,0.0499433939484187,0.04334369722992843
Lipophilicity,regression,2,oracle,0.0499433839484187,0.0499433839484187,0.0499433939484187,0.9999997997733191
Lipophilicity,regression,2,random,0.0012560048715634,0.0499433839484187,0.0499433939484187,0.02514856865475734
Lipophilicity,regression,2,uncertainty,-0.001189620679814,0.0499433839484187,0.0499433939484187,-0.023819380017357943
Lipophilicity,regression,3,R7_oof_selected_top,-0.0007303419933831,0.0431530666000093,0.043153076600009305,-0.016924447824490513
Lipophilicity,regression,3,R8_oof_selected_gated,-0.0001394135382549,0.0431530666000093,0.043153076600009305,-0.0032306743629692894
Lipophilicity,regression,3,R9_oof_safe_guardrail,0.0,0.0431530666000093,0.043153076600009305,0.0
Lipophilicity,regression,3,flexibility,-0.0023690526341604,0.0431530666000093,0.043153076600009305,-0.05489881187659953
Lipophilicity,regression,3,old_voi,-0.0015920524106537,0.0431530666000093,0.043153076600009305,-0.03689313801216566
Lipophilicity,regression,3,oracle,0.0431530666000093,0.0431530666000093,0.043153076600009305,0.9999997682668123
Lipophilicity,regression,3,random,-0.0031802585637767,0.0431530666000093,0.043153076600009305,-0.07369714547249719
Lipophilicity,regression,3,uncertainty,-0.000926678966737,0.0431530666000093,0.043153076600009305,-0.02147422709454742
Lipophilicity,regression,4,R7_oof_selected_top,-0.0049815906320228,0.0409538529128082,0.040953862912808205,-0.12163909037417862
Lipophilicity,regression,4,R8_oof_selected_gated,-1.3123862802408291e-05,0.0409538529128082,0.040953862912808205,-0.000320454820839473
Lipophilicity,regression,4,R9_oof_safe_guardrail,-1.3123862802408291e-05,0.0409538529128082,0.040953862912808205,-0.000320454820839473
Lipophilicity,regression,4,flexibility,-0.0051288639607015,0.0409538529128082,0.040953862912808205,-0.12523516943007254
Lipophilicity,regression,4,old_voi,-0.0032733840301016,0.0409538529128082,0.040953862912808205,-0.07992857809459186
Lipophilicity,regression,4,oracle,0.0409538529128082,0.0409538529128082,0.040953862912808205,0.9999997558227895
Lipophilicity,regression,4,random,-0.0067640743818656,0.0409538529128082,0.040953862912808205,-0.16516328133115266
Lipophilicity,regression,4,uncertainty,-0.0058481898333415,0.0409538529128082,0.040953862912808205,-0.14279946792302456
