task,task_type,router,budget,primary_value_mean,primary_value_std,primary_value_mean_std,call_rate_mean,call_rate_std,call_rate_mean_std,n_seeds
BBBP,classification,oracle,100.0,0.9298473433782712,0.00231937580791994,0.929847 +/- 0.002319,100.0,0.0,100.000000 +/- 0.000000,5
BBBP,classification,random,0.0,0.9246629659000793,0.0037107396726361644,0.924663 +/- 0.003711,0.0,0.0,0.000000 +/- 0.000000,5
BBBP,classification,random,5.0,0.9262490087232356,0.0033643588744901006,0.926249 +/- 0.003364,4.918032786885246,0.0,4.918033 +/- 0.000000,5
BBBP,classification,random,10.0,0.9264770023790643,0.0025178429817604986,0.926477 +/- 0.002518,9.836065573770492,0.0,9.836066 +/- 0.000000,5
BBBP,classification,random,20.0,0.9255650277557494,0.0029065546489813175,0.925565 +/- 0.002907,20.0,0.0,20.000000 +/- 0.000000,5
BBBP,classification,random,40.0,0.9273691514670898,0.0038784898941018127,0.927369 +/- 0.003878,40.0,0.0,40.000000 +/- 0.000000,5
BBBP,classification,random,60.0,0.9270222045995242,0.0025937756229471635,0.927022 +/- 0.002594,60.0,0.0,60.000000 +/- 0.000000,5
BBBP,classification,random,80.0,0.9279738302934181,0.0032205665232816942,0.927974 +/- 0.003221,80.0,0.0,80.000000 +/- 0.000000,5
BBBP,classification,random,100.0,0.9298473433782712,0.00231937580791994,0.929847 +/- 0.002319,100.0,0.0,100.000000 +/- 0.000000,5
BBBP,classification,uncertainty,0.0,0.9246629659000793,0.0037107396726361644,0.924663 +/- 0.003711,0.0,0.0,0.000000 +/- 0.000000,5
BBBP,classification,uncertainty,5.0,0.9245935765265662,0.003730494646798724,0.924594 +/- 0.003730,4.918032786885246,0.0,4.918033 +/- 0.000000,5
BBBP,classification,uncertainty,10.0,0.924494448850119,0.004164141198261064,0.924494 +/- 0.004164,9.836065573770492,0.0,9.836066 +/- 0.000000,5
BBBP,classification,uncertainty,20.0,0.926080491673275,0.00405995306464447,0.926080 +/- 0.004060,20.0,0.0,20.000000 +/- 0.000000,5
BBBP,classification,uncertainty,40.0,0.9280927835051547,0.0032790740149143973,0.928093 +/- 0.003279,40.0,0.0,40.000000 +/- 0.000000,5
BBBP,classification,uncertainty,60.0,0.9297482157018241,0.0021229529039629375,0.929748 +/- 0.002123,60.0,0.0,60.000000 +/- 0.000000,5
BBBP,classification,uncertainty,80.0,0.9295499603489293,0.0022761838577672147,0.929550 +/- 0.002276,80.0,0.0,80.000000 +/- 0.000000,5
BBBP,classification,uncertainty,100.0,0.9298473433782712,0.00231937580791994,0.929847 +/- 0.002319,100.0,0.0,100.000000 +/- 0.000000,5
ESOL,regression,R7_nested_top,0.0,0.6019217134369322,0.011546324794926371,0.601922 +/- 0.011546,0.0,0.0,0.000000 +/- 0.000000,5
