task,task_type,method,method_group,primary_metric,primary_mean,primary_std,n_seeds,source,call_rate,selection_family,selection_note,baseline_aware_mean,baseline_aware_std
BACE,classification,val_best_single,validation-gated consensus,AUROC,0.8530420991926182,0.0088588194853088,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/validation_ensemble_bace_bbbp_5seed/method_summary.csv,,
BACE,classification,val_greedy_ensemble,validation-gated consensus,AUROC,0.8543396770472895,0.0066590581994993,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/validation_ensemble_bace_bbbp_5seed/method_summary.csv,,
BBBP,classification,ExtraTrees_ECFPDesc,candidate member,AUROC,0.9443199841395716,0.0019244177450844,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/validation_ensemble_bace_bbbp_5seed/method_summary.csv,,
BBBP,classification,LR_ECFPDesc,candidate member,AUROC,0.9181205392545598,0.0,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/validation_ensemble_bace_bbbp_5seed/method_summary.csv,,
BBBP,classification,RF_ECFPDesc,candidate member,AUROC,0.9406770420301348,0.0035119887956386,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/validation_ensemble_bace_bbbp_5seed/method_summary.csv,,
BBBP,classification,XGB_ECFPDesc,candidate member,AUROC,0.9181998413957176,0.0029239472130476,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/validation_ensemble_bace_bbbp_5seed/method_summary.csv,,
BBBP,classification,chemprop_dmpnn,candidate member,AUROC,0.911379857256146,0.0037950497224401,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/validation_ensemble_bace_bbbp_5seed/method_summary.csv,,
BBBP,classification,chemprop_dmpnn_rdkit2d,candidate member,AUROC,0.9189928628072958,0.0032976308153826,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/validation_ensemble_bace_bbbp_5seed/method_summary.csv,,
BBBP,classification,chemprop_dmpnn_rdkit2d_balanced,candidate member,AUROC,0.9218279143536876,0.0071009189241019,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/validation_ensemble_bace_bbbp_5seed/method_summary.csv,,
BBBP,classification,val_best_single,validation-gated consensus,AUROC,0.911379857256146,0.0037950497224401,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/validation_ensemble_bace_bbbp_5seed/method_summary.csv,,
BBBP,classification,val_greedy_ensemble,validation-gated consensus,AUROC,0.9176249008723236,0.0038546520648727,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/validation_ensemble_bace_bbbp_5seed/method_summary.csv,,
BACE,classification,ExtraTrees_ECFPDesc,candidate member,AUROC,0.8537197231833911,0.0022102362968575,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/validation_ensemble_with_3d_cls_hiv_5seed/method_summary.csv,,
BACE,classification,LR_ECFPDesc,candidate member,AUROC,0.8656286043829295,0.0,5,ours_rerun_same_split,0.0,modern_same_split_rerun,from results/validation_ensemble_with_3d_cls_hiv_5seed/method_summary.csv,,
